row_id,rota_id,date,shift_id,staff_id,Full_Name,,,,,,,,,,,,,,
1,RT001,2/12/2024,SH001,ST001,Emma Johnson,,,,,,,,,,,,,,
2,RT001,2/12/2024,SH001,ST003,Olivia Williams,,,,,,,,,,,,,,
3,RT001,2/12/2024,SH002,ST001,Emma Johnson,,,,,,,,,,,,,,
4,RT002,2/13/2024,SH003,ST002,Liam Smith,,,,,,,,,,,,,,
5,RT002,2/13/2024,SH003,ST004,Noah Brown,,,,,,,,,,,,,,
6,RT002,2/13/2024,SH004,ST002,Liam Smith,,,,,,,,,,,,,,
7,RT003,2/14/2024,SH005,ST001,Emma Johnson,,,,,,,,,,,,,,
8,RT003,2/14/2024,SH005,ST003,Olivia Williams,,,,,,,,,,,,,,
9,RT003,2/14/2024,SH006,ST003,Olivia Williams,,,,,,,,,,,,,,
10,RT004,2/15/2024,SH007,ST002,Liam Smith,,,,,,,,,,,,,,
11,RT004,2/15/2024,SH007,ST004,Noah Brown,,,,,,,,,,,,,,
12,RT004,2/15/2024,SH008,ST004,Noah Brown,,,,,,,,,,,,,,
13,RT005,2/16/2024,SH009,ST001,Emma Johnson,,,,,,,,,,,,,,
14,RT005,2/16/2024,SH009,ST002,Liam Smith,,,,,,,,,,,,,,
15,RT005,2/16/2024,SH010,ST002,Liam Smith,,,,,,,,,,,,,,
16,RT006,2/17/2024,SH011,ST003,Olivia Williams,,,,,,,,,,,,,,
17,RT006,2/17/2024,SH011,ST004,Noah Brown,,,,,,,,,,,,,,
18,RT006,2/17/2024,SH012,ST004,Noah Brown,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
